"You must provide your cardissuer_id with your card data.","You must provide your cardissuer_id with your card data."
"The caller is not authorized to perform this action.","The caller is not authorized to perform this action."
"Invalid card_token_id.","Invalid card_token_id."
"Invalid parameter site_id.","Invalid parameter site_id."
"Not valid action, the resource is in a state that does not allow this operation. For more information see the state that has the resource.","Not valid action, the resource is in a state that does not allow this operation. For more information see the state that has the resource."
"Invalid parameter cardtoken_id.","Invalid parameter cardtoken_id."
"The parameter client_id can not be null or empty.","The parameter client_id can not be null or empty."
"Not found Cardtoken.","Not found Cardtoken."
"unauthorized client_id.","unauthorized client_id."
"Not found card on whitelist.","Not found card on whitelist."
"Not found payment_method.","Not found payment_method."
"Invalid parameter security_code_length.","Invalid parameter security_code_length."
"The parameter security_code is a required field can not be null or empty.","The parameter security_code is a required field can not be null or empty."
"Invalid parameter payment_method.","Invalid parameter payment_method."
"Invalid parameter card_number_length.","Invalid parameter card_number_length."
"Invalid parameter card_number.","Invalid parameter card_number."
"The parameter card_number_id can not be null or empty.","The parameter card_number_id can not be null or empty."
"The parameter expiration_month can not be null or empty.","The parameter expiration_month can not be null or empty."
"The parameter expiration_year can not be null or empty.","The parameter expiration_year can not be null or empty."
"The parameter cardholder.name can not be null or empty.","The parameter cardholder.name can not be null or empty."
"The parameter cardholder.document.number can not be null or empty.","The parameter cardholder.document.number can not be null or empty."
"The parameter cardholder.document.type can not be null or empty.","The parameter cardholder.document.type can not be null or empty."
"The parameter cardholder.document.subtype can not be null or empty.","The parameter cardholder.document.subtype can not be null or empty."
"Not valid action - partial refund unsupported for this transaction.","Not valid action - partial refund unsupported for this transaction."
"Invalid Auth Code.","Invalid Auth Code."
"Invalid card_id for this payment_method_id.","Invalid card_id for this payment_method_id."
"Invalid payment_type_id.","Invalid payment_type_id."
"Invalid card expiration month.","Invalid card expiration month."
"Invalid card expiration year.","Invalid card expiration year."
"security_code_id can't be null.","security_code_id can't be null."
"Invalid security_code_length.","Invalid security_code_length."
"Invalid card_number_length.","Invalid card_number_length."
"Invalid card_number_validation.","Invalid card_number_validation."
"Error getting security_code_id.","Error getting security_code_id."
"Error getting card_id.","Error getting card_id."
"Security code does not exist.","Security code does not exist."
"Card Not Found.","Card Not Found."
"Invalid response.","Invalid response."
"Invalid provider_id.","Invalid provider_id."
"There is no provider configuration.","There is no provider configuration."
"Error al conectarse con el provider.","Error al conectarse con el provider."
"Transactions API Repeated request.","Transactions API Repeated request."
"Invalid movement search paging.","Invalid movement search paging."
"Error getting amount to refund.","Error getting amount to refund."
"Invalid splitter fee.","Invalid splitter fee."
"Invalid differential pricing.","Invalid differential pricing."
"could not create a transaction: missing data for the following cardtoken.","could not create a transaction: missing data for the following cardtoken."
"Gateway Service Unavailable.","Gateway Service Unavailable."
"Gateway capture bad request.","Gateway capture bad request."
"Gateway capture internal server error.","Gateway capture internal server error."
"token attribute can't be null.","token attribute can't be null."
"payment_method_id attribute can't be null.","payment_method_id attribute can't be null."
"transaction_amount attribute can't be null.","transaction_amount attribute can't be null."
"transaction_amount attribute must be numeric.","transaction_amount attribute must be numeric."
"installments attribute can't be null.","installments attribute can't be null."
"installments attribute must be numeric.","installments attribute must be numeric."
"payer attribute is malformed.","payer attribute is malformed."
"site_id attribute can't be null.","site_id attribute can't be null."
"financing_rate attribute can't be smaller than 0 or greater than 100.","financing_rate attribute can't be smaller than 0 or greater than 100."
"discount_rate attribute can't be smaller than 0 or greater than 100.","discount_rate attribute can't be smaller than 0 or greater than 100."
"application_fee attribute can't be smaller than 0 or greater than 100.","application_fee attribute can't be smaller than 0 or greater than 100."
"payer.id attribute can't be null.","payer.id attribute can't be null."
"payer.type attribute can't be null.","payer.type attribute can't be null."
"payment_method_reference_id attribute can't be null.","payment_method_reference_id attribute can't be null."
"payment_method_reference_id attribute must be numeric.","payment_method_reference_id attribute must be numeric."
"status attribute can't be null.","status attribute can't be null."
"payment_id attribute can't be null.","payment_id attribute can't be null."
"payment_id attribute must be numeric.","payment_id attribute must be numeric."
"notificaction_url attribute must be url valid.","notificaction_url attribute must be url valid."
"notificaction_url attribute must be shorter than 255 character.","notificaction_url attribute must be shorter than 255 character."
"metadata attribute must be a valid JSON.","metadata attribute must be a valid JSON."
"refund_id can't be null.","refund_id can't be null."
"Invalid coupon_amount.","Invalid coupon_amount."
"campaign_id attribute must be numeric.","campaign_id attribute must be numeric."
"Empty Data.","Empty Data."
"Invalid payer type.","Invalid payer type."
"financing_rate attribute must be numeric.","financing_rate attribute must be numeric."
"discount_rate attribute must be numeric.","discount_rate attribute must be numeric."
"differential_pricing_id attribute must be numeric.","differential_pricing_id attribute must be numeric."
"Invalid installments.","Invalid installments."
"Status Detail can't be null.","Status Detail can't be null."
"client.id attribute can't be null.","client.id attribute can't be null."
"Invalid transaction_amount.","Invalid transaction_amount."
"application_fee cannot be bigger or equal than transaction_amount.","application_fee cannot be bigger or equal than transaction_amount."
"application_fee cannot be a negative value.","application_fee cannot be a negative value."
"amount attribute must be positive.","amount attribute must be positive."
"amount attribute must be numeric.","amount attribute must be numeric."
"collector.email can't be null.","collector.email can't be null."
"sponsor_id attribute must be numeric.","sponsor_id attribute must be numeric."
"sponsor_id attribute must be positive.","sponsor_id attribute must be positive."
"order.id can't be null.","order.id can't be null."
"order.type can't be null.","order.type can't be null."
"invalid order.type.","invalid order.type."
"order.id attribute must be numeric.","order.id attribute must be numeric."
"transaction_amount must be positive.","transaction_amount must be positive."
"payer.email must be a valid email.","payer.email must be a valid email."
"payer.email must be shorter than 254 characters.","payer.email must be shorter than 254 characters."
"invalid fee configuration.","invalid fee configuration."
"application_fee attribute must be positive.","application_fee attribute must be positive."
"coupon_amount attribute must be positive.","coupon_amount attribute must be positive."
"callback_url cant be null.","callback_url cant be null."
"transaction_details.financial_institution cant be null.","transaction_details.financial_institution cant be null."
"payer.entity_type cant be null.","payer.entity_type cant be null."
"additional_info.ip_address cant be null.","additional_info.ip_address cant be null."
"payer.entity_type must be a valid value.","payer.entity_type must be a valid value."
"callback_url attribute must be url valid.","callback_url attribute must be url valid."
"callback_url attribute must be shorter than 255 character.","callback_url attribute must be shorter than 255 character."
"financial_institution must be a valid value.","financial_institution must be a valid value."
"access_token not found.","access_token not found."
"additional_info.items.unit_price atribute must be decimal.","additional_info.items.unit_price atribute must be decimal."
"additional_info.items.quantity atribute must be numeric.","additional_info.items.quantity atribute must be numeric."
"additional_info.items.unit_price atribute must be positive.","additional_info.items.unit_price atribute must be positive."
"additional_info.items.quantity atribute must be positive.","additional_info.items.quantity atribute must be positive."
"additional_info.items.quantity atribute must be integer.","additional_info.items.quantity atribute must be integer."
"additional_info.ip_address must be a valid value.","additional_info.ip_address must be a valid value."
"Unauthorized use of concept attributes.","Unauthorized use of concept attributes."
"concept_id is required.","concept_id is required."
"concept_amount is required.","concept_amount is required."
"Invalid concept_id.","Invalid concept_id."
"Invalid concept_amount.","Invalid concept_amount."
"concept_amount atribute must be numeric.","concept_amount atribute must be numeric."
"concept_amount must be positive.","concept_amount must be positive."
"Invalid attribute.","Invalid attribute."
"the attribute type in external_device is required.","the attribute type in external_device is required."
"the attribute value in external_device is required.","the attribute value in external_device is required."
"external_reference must be shorter than 254 characters.","external_reference must be shorter than 254 characters."
"issuer_id must be integer.","issuer_id must be integer."
"application_fee is required.","application_fee is required."
"Net and Tax amounts can't be null.","Net and Tax amounts can't be null."
"Invalid values, net_amount + tax should be equal to transaction_amount.","Invalid values, net_amount + tax should be equal to transaction_amount."
"Malformed elements in taxes list.","Malformed elements in taxes list."
"Invalid tax type.","Invalid tax type."
"net_amount can't be negative.","net_amount can't be negative."
"tax can't be negative.","tax can't be negative."
"net_amount can't have more than two decimals.","net_amount can't have more than two decimals."
"tax can't have more than two decimals.","tax can't have more than two decimals."
"payer.first_name required.","payer.first_name required."
"payer.last_name required.","payer.last_name required."
"payer required.","payer required."
"To generate a registered boleto the following parameters are required: payer.identification.type , payer.identification.number.","To generate a registered boleto the following parameters are required: payer.identification.type , payer.identification.number."
"The value cant be greater than 100.","The value cant be greater than 100."
"amount attribute is not allowed.","amount attribute is not allowed."
"Invalid processing_mode.","Invalid processing_mode."
"Merchant account not found.","Merchant account not found."
"Invalid refund.","Invalid refund."
"Invalid merchant account.","Invalid merchant account."
"Invalid application_fee parameter for processing_mode gateway.","Invalid application_fee parameter for processing_mode gateway."
"Campaigns are not supported for processing_mode gateway.","Campaigns are not supported for processing_mode gateway."
"Unauthorized use of fee_details attributes.","Unauthorized use of fee_details attributes."
"Missing merchant account information for this gateway mode operation.","Missing merchant account information for this gateway mode operation."
"Invalid parameter merchant_services.","Invalid parameter merchant_services."
"Invalid merchant_services configuration.","Invalid merchant_services configuration."
"merchant_services attribute must be a valid JSON.","merchant_services attribute must be a valid JSON."
"the merchant_services fraud_manual_review is incompatible with binary_mode: true.","the merchant_services fraud_manual_review is incompatible with binary_mode: true."
"the payment method option for this payment is not available.","the payment method option for this payment is not available."
"Taxes must be calculated or percentage, not both.","Taxes must be calculated or percentage, not both."
"payment_id attribute can't be less than or equal to zero.","payment_id attribute can't be less than or equal to zero."
"shipping_amount attribute must be positive or zero.","shipping_amount attribute must be positive or zero."
"transaction_amount must be bigger than application_fee.","transaction_amount must be bigger than application_fee."
"payer.identification.type cant be null.","payer.identification.type cant be null."
"payer identification number cant be null.","payer identification number cant be null."
"token attribute cannot be null.","token attribute cannot be null."
"binary mode attribute must be true.","binary mode attribute must be true."
"Invalid mode, mode value must be total or partial.","Invalid mode, mode value must be total or partial."
"Fees exceed the balance of the payer.","Fees exceed the balance of the payer."
"Charge can't be null.","Charge can't be null."
"Charge name can't be null or empty.","Charge name can't be null or empty."
"Charge amount can't be null or empty.","Charge amount can't be null or empty."
"Charge account from can't be null or empty.","Charge account from can't be null or empty."
"Charge account to can't be null or empty.","Charge account to can't be null or empty."
"Invalid charge name.","Invalid charge name."
"Invalid charge amount.","Invalid charge amount."
"Invalid charge account from.","Invalid charge account from."
"Invalid charge account to.","Invalid charge account to."
"Duplicated charges.","Duplicated charges."
"Invalid charge account from for charge.","Invalid charge account from for charge."
"Invalid charge account to for charge.","Invalid charge account to for charge."
"Invalid client id for charge creation.","Invalid client id for charge creation."
"Invalid payment status to create charges.","Invalid payment status to create charges."
"No contingencies found for payment.","No contingencies found for payment."
"All payment contingencies where solved or ignored.","All payment contingencies where solved or ignored."
"No pending deferred charges contingency found form payment.","No pending deferred charges contingency found form payment."
"The charge do not match with the agreed in payment creation.","The charge do not match with the agreed in payment creation."
"Charges creation makes net received amount negative.","Charges creation makes net received amount negative."
"Unable to resolve deferred charges contingencies.","Unable to resolve deferred charges contingencies."
"You have exceeded the max number of charges for this payment.","You have exceeded the max number of charges for this payment."
"You have exceeded the max number of characters for charge on this payment.","You have exceeded the max number of characters for charge on this payment."
"Invalid gateway payment method.","Invalid gateway payment method."
"Adjustment amount makes refund amount negative.","Adjustment amount makes refund amount negative."
"Collector must be paypal.","Collector must be paypal."
"Post to coupons API fail.","Post to coupons API fail."
"Post to coupons API BENEFITS fail.","Post to coupons API BENEFITS fail."
"Get to API INSURTECH fail.","Get to API INSURTECH fail."
"Put to coupons API fail.","Put to coupons API fail."
"Delete to coupons API fail - .","Delete to coupons API fail - ."
"Discounts V2 and CouponId are incompatible.","Discounts V2 and CouponId are incompatible."
"fee_details attribute is not allowed.","fee_details attribute is not allowed."
"mode attribute is not allowed.","mode attribute is not allowed."
"invalid action - pre authorization unsupported.","invalid action - pre authorization unsupported."
"date_of_expiration attribute is not allowed.","date_of_expiration attribute is not allowed."
"date_of_expiration attribute can't be null.","date_of_expiration attribute can't be null."
"Charge refund amount must be numeric.","Charge refund amount must be numeric."
"Charge refund amount must be positive.","Charge refund amount must be positive."
"Payment without charges.","Payment without charges."
"Charge not found.","Charge not found."
"Insufficient amount to perform charge refund.","Insufficient amount to perform charge refund."
"Refund amount exceeded by charge refund amounts.","Refund amount exceeded by charge refund amounts."
"amounts.collector.currency_id can't be null.","amounts.collector.currency_id can't be null."
"amounts.payer.currency_id can't be null.","amounts.payer.currency_id can't be null."
"amounts.collector.transaction must be numeric.","amounts.collector.transaction must be numeric."
"amounts.payer.transaction must be numeric.","amounts.payer.transaction must be numeric."
"amounts.collector.transaction must be positive.","amounts.collector.transaction must be positive."
"amounts.payer.transaction must be positive.","amounts.payer.transaction must be positive."
"amounts.collector.transaction can't be null.","amounts.collector.transaction can't be null."
"amounts.payer.transaction can't be null.","amounts.payer.transaction can't be null."
"amounts.payer can't be null.","amounts.payer can't be null."
"amounts.collector can't be null.","amounts.collector can't be null."
"transaction_amount attribute is not allowed when has amounts attribute.","transaction_amount attribute is not allowed when has amounts attribute."
"Attribute amounts is not allowed.","Attribute amounts is not allowed."
"billing_information.buyer.id can't be null.","billing_information.buyer.id can't be null."
"Attribute counter_currency can't be null.","Attribute counter_currency can't be null."
"All charges must be associated to the same user.","All charges must be associated to the same user."
"The payment has internal contingencies to resolve.","The payment has internal contingencies to resolve."
"The payment has movement operation to process.","The payment has movement operation to process."
"Validation was wrong configured for this flow.","Validation was wrong configured for this flow."
"Direct charges flow needs to receive at least one charge.","Direct charges flow needs to receive at least one charge."
"Could not process the charges related to type.","Could not process the charges related to type."
"Duplicated Charge and Fee.","Duplicated Charge and Fee."
"Attribute amounts.collector is not allowed.","Attribute amounts.collector is not allowed."
"Attribute amounts.payer.currency_id is not allowed.","Attribute amounts.payer.currency_id is not allowed."
"amounts.payer.transaction_source can't be null.","amounts.payer.transaction_source can't be null."
"amounts.payer.transaction_source.partitions can't be null.","amounts.payer.transaction_source.partitions can't be null."
"invalid length for partitions parameter.","invalid length for partitions parameter."
"amounts.payer.transaction_source.partitions.partition can't be null.","amounts.payer.transaction_source.partitions.partition can't be null."
"amounts.payer.transaction_source.partitions.amount can't be null.","amounts.payer.transaction_source.partitions.amount can't be null."
"Invalid values ​​for amounts.payer.transaction_source.partitions parameter.","Invalid values ​​for amounts.payer.transaction_source.partitions parameter."
"Attribute amounts.payer is not allowed.","Attribute amounts.payer is not allowed."
"amounts value is invalid.","amounts value is invalid."
"invalid action - capture unsupported.","invalid action - capture unsupported."
"Attribute amounts.collector.currency_id is not allowed.","Attribute amounts.collector.currency_id is not allowed."
"amounts.collector.transaction_destination can't be null.","amounts.collector.transaction_destination can't be null."
"amounts.collector.transaction_destination.fund_partition can't be null.","amounts.collector.transaction_destination.fund_partition can't be null."
"Invalid value ​​for amounts.collector.transaction_destination.fund_partition parameter.","Invalid value ​​for amounts.collector.transaction_destination.fund_partition parameter."
"Invalid data to skip charge in contingency.","Invalid data to skip charge in contingency."
"The charge skipped or added is unprocessable.","The charge skipped or added is unprocessable."
"Each user needs an only one reserver to cover new charges.","Each user needs an only one reserver to cover new charges."
"Invalid product id for charge.","Invalid product id for charge."
"Charge can't be null or empty.","Charge can't be null or empty."
"Header X-Idempotency-Key can’t be null.","Header X-Idempotency-Key can’t be null."
"Invalid payment status to refund charges.","Invalid payment status to refund charges."
"Charge type not valid to refund.","Charge type not valid to refund."
"Partial charge refund is not allowed.","Partial charge refund is not allowed."
"Charge already refunded.","Charge already refunded."
"Invalid charge id.","Invalid charge id."
"Invalid charge refund amount.","Invalid charge refund amount."
"amounts can't be null or empty.","amounts can't be null or empty."
"payment method not valid to use partitions.","payment method not valid to use partitions."
"Attribute amounts.payer.transaction_source.partitions is not allowed.","Attribute amounts.payer.transaction_source.partitions is not allowed."
"invalid refund partition amount.","invalid refund partition amount."
"the partitions on 'amounts.payer.transaction_source.partitions' not configured.","the partitions on 'amounts.payer.transaction_source.partitions' not configured."
"Invalid fee_details.amount.","Invalid fee_details.amount."
"Invalid charge_details.amount.","Invalid charge_details.amount."
"invalid or unchanged partition on 'payer.transaction_source.partitions'.","invalid or unchanged partition on 'payer.transaction_source.partitions'."
"amounts.payer.transaction_source.sources can't be null.","amounts.payer.transaction_source.sources can't be null."
"invalid length for sources parameter.","invalid length for sources parameter."
"invalid type for amounts.payer.transaction_source.sources.","invalid type for amounts.payer.transaction_source.sources."
"repeated sources.","repeated sources."
"invalid values for sources.","invalid values for sources."
"invalid payment_method to use sources.","invalid payment_method to use sources."
"invalid operation_type to use sources.","invalid operation_type to use sources."
"invalid source to use on site.","invalid source to use on site."
"counter_currency.currency_id cant be null.","counter_currency.currency_id cant be null."
"counter_currency.amount cant be null.","counter_currency.amount cant be null."
"counter_currency.amount must be positive.","counter_currency.amount must be positive."
"counter_currency.amount must be numeric.","counter_currency.amount must be numeric."
"counter_currency.exchange_rate must be positive.","counter_currency.exchange_rate must be positive."
"counter_currency.exchange_rate cant be null.","counter_currency.exchange_rate cant be null."
"counter_currency.exchange_rate must be numeric.","counter_currency.exchange_rate must be numeric."
"Currency not enabled to be used as source on this payment method.","Currency not enabled to be used as source on this payment method."
"Post to burn API BENEFITS fail - .","Post to burn API BENEFITS fail - ."
"Invalid parameters for payment_method API using sandbox pricing.","Invalid parameters for payment_method API using sandbox pricing."
"params owner.type cant be null.","params owner.type cant be null."
"params owner.id cant be null.","params owner.id cant be null."
"params owner.movements_processing_mode cant be null.","params owner.movements_processing_mode cant be null."
"Unauthorized use of owner attributes.","Unauthorized use of owner attributes."
"owner.type attribute has invalid value.","owner.type attribute has invalid value."
"owner.movements_processing_mode attribute has invalid value.","owner.movements_processing_mode attribute has invalid value."
"owner.id attribute has invalid value.","owner.id attribute has invalid value."
"campaign.id attribute must be positive.","campaign.id attribute must be positive."
"point_of_interaction.transaction_data.exchange_rate attribute must be positive.","point_of_interaction.transaction_data.exchange_rate attribute must be positive."
"payer.identification cant be null.","payer.identification cant be null."
"amounts.exchange_broker.transaction must be numeric.","amounts.exchange_broker.transaction must be numeric."
"amounts.exchange_broker.transaction must be positive.","amounts.exchange_broker.transaction must be positive."
"amounts.exchange_broker.currency_id can't be null.","amounts.exchange_broker.currency_id can't be null."
"Invalid cbt charge.","Invalid cbt charge."
"Invalid payment for put cbt charge.","Invalid payment for put cbt charge."
"payment method not valid to use ticket rules.","payment method not valid to use ticket rules."
"point_of_interaction.transaction_data.ticket_info.fine.type can't be null.","point_of_interaction.transaction_data.ticket_info.fine.type can't be null."
"point_of_interaction.transaction_data.ticket_info.fine.value must be one of.","point_of_interaction.transaction_data.ticket_info.fine.value must be one of."
"point_of_interaction.transaction_data.ticket_info.fine.value can't be null.","point_of_interaction.transaction_data.ticket_info.fine.value can't be null."
"point_of_interaction.transaction_data.ticket_info.fine.value must be numeric.","point_of_interaction.transaction_data.ticket_info.fine.value must be numeric."
"point_of_interaction.transaction_data.ticket_info.fine.value must be positive.","point_of_interaction.transaction_data.ticket_info.fine.value must be positive."
"point_of_interaction.transaction_data.ticket_info.fine.value invalid value.","point_of_interaction.transaction_data.ticket_info.fine.value invalid value."
"point_of_interaction.transaction_data.ticket_info.interest.type can't be null.","point_of_interaction.transaction_data.ticket_info.interest.type can't be null."
"point_of_interaction.transaction_data.ticket_info.interest.value must be one of.","point_of_interaction.transaction_data.ticket_info.interest.value must be one of."
"point_of_interaction.transaction_data.ticket_info.interest.value can't be null.","point_of_interaction.transaction_data.ticket_info.interest.value can't be null."
"point_of_interaction.transaction_data.ticket_info.interest.value must be numeric.","point_of_interaction.transaction_data.ticket_info.interest.value must be numeric."
"point_of_interaction.transaction_data.ticket_info.interest.value must be positive.","point_of_interaction.transaction_data.ticket_info.interest.value must be positive."
"point_of_interaction.transaction_data.ticket_info.interest.value invalid value.","point_of_interaction.transaction_data.ticket_info.interest.value invalid value."
"point_of_interaction.transaction_data.ticket_info.discounts invalid length.","point_of_interaction.transaction_data.ticket_info.discounts invalid length."
"point_of_interaction.transaction_data.ticket_info.discounts.type can't be null.","point_of_interaction.transaction_data.ticket_info.discounts.type can't be null."
"point_of_interaction.transaction_data.ticket_info.discounts.value must be one of.","point_of_interaction.transaction_data.ticket_info.discounts.value must be one of."
"point_of_interaction.transaction_data.ticket_info.discounts.value can't be null.","point_of_interaction.transaction_data.ticket_info.discounts.value can't be null."
"point_of_interaction.transaction_data.ticket_info.discounts.value must be numeric.","point_of_interaction.transaction_data.ticket_info.discounts.value must be numeric."
"point_of_interaction.transaction_data.ticket_info.discounts.value must be positive.","point_of_interaction.transaction_data.ticket_info.discounts.value must be positive."
"point_of_interaction.transaction_data.ticket_info.discounts.value invalid value.","point_of_interaction.transaction_data.ticket_info.discounts.value invalid value."
"point_of_interaction.transaction_data.ticket_info.discounts.limit_date can't be null.","point_of_interaction.transaction_data.ticket_info.discounts.limit_date can't be null."
"point_of_interaction.transaction_data.ticket_info.discounts.limit_date invalid value.","point_of_interaction.transaction_data.ticket_info.discounts.limit_date invalid value."
"rule id cant be null.","rule id cant be null."
"rule id must be numeric.","rule id must be numeric."
"issuer_id must be numeric.","issuer_id must be numeric."
"user_id must be numeric.","user_id must be numeric."
"bin must be numeric.","bin must be numeric."
"installment must be numeric.","installment must be numeric."
"differential_pricing_id must be numeric.","differential_pricing_id must be numeric."
"profile id cant be null.","profile id cant be null."
"Invalid site id.","Invalid site id."
"issuer_id must be positive.","issuer_id must be positive."
"user_id must be a list.","user_id must be a list."
"operation_type_id must be a list.","operation_type_id must be a list."
"payment_method_id must be a list.","payment_method_id must be a list."
"bin must be a list.","bin must be a list."
"installment must be a list.","installment must be a list."
"differential_pricing_id must be a list.","differential_pricing_id must be a list."
"site_id should not be a list.","site_id should not be a list."
"profile_id should not be a list.","profile_id should not be a list."
"profile_status should not be a list.","profile_status should not be a list."
"profile_description should not be a list.","profile_description should not be a list."
"order must be numeric.","order must be numeric."
"config not found.","config not found."
"rule not found.","rule not found."
"marketplace must be a list.","marketplace must be a list."
"failed to notify servers.","failed to notify servers."
"application_id must be a list.","application_id must be a list."
"application_id must be numeric.","application_id must be numeric."
"default profile must be true or false.","default profile must be true or false."
"alternative profile must be true or false.","alternative profile must be true or false."
"issuer_id must be a list.","issuer_id must be a list."
"The following parameters must be a List of String without special character.","The following parameters must be a List of String without special character."
"The following parameters must be a List of String.","The following parameters must be a List of String."
"The following parameters must be a List of Long.","The following parameters must be a List of Long."
"You are not authorized to update/delete this resource.","You are not authorized to update/delete this resource."
"There is already an active rule with that id .","There is already an active rule with that id ."
"Can't be cloned, inactive rules haven't position.","Can't be cloned, inactive rules haven't position."
"Invalid status parameter.","Invalid status parameter."
"The following parameters must be a list.","The following parameters must be a list."
"The following parameters should not be a list.","The following parameters should not be a list."
"Cloning can't change site_id.","Cloning can't change site_id."
"The profile_id provided cannot be the same as the base rule.","The profile_id provided cannot be the same as the base rule."
"It is impossible to clone a rule more than once, the existing rule is.","It is impossible to clone a rule more than once, the existing rule is."
"Sólo debe enviar 1 parametro para seleccionar tipo de ejecución.","Sólo debe enviar 1 parametro para seleccionar tipo de ejecución."
"Debe elegir que rule actualizar.","Debe elegir que rule actualizar."
"Security_code only can be optional or mandatory.","Security_code only can be optional or mandatory."
"Invalid payment_type parameter.","Invalid payment_type parameter."
"Invalid format for days parameter.","Invalid format for days parameter."
"Owner only can be MERCADOPAGO or THIRD_PARTY.","Owner only can be MERCADOPAGO or THIRD_PARTY."
"Cloning can't change owner.","Cloning can't change owner."
"Invalid length for days parameter.","Invalid length for days parameter."
"El dia de la semana y el del mes, son excluyentes entre si.","El dia de la semana y el del mes, son excluyentes entre si."
"For owner THIRD_PARTY, the user_id parameter can't be null.","For owner THIRD_PARTY, the user_id parameter can't be null."
"For owner THIRD_PARTY, the user_id parameter must have only one value.","For owner THIRD_PARTY, the user_id parameter must have only one value."
"site_id patameter can not be modified.","site_id patameter can not be modified."
"owner patameter can not be modified.","owner patameter can not be modified."
"For owner THIRD_PARTY, the merchant_account_id parameter can't be null.","For owner THIRD_PARTY, the merchant_account_id parameter can't be null."
"Private label payments do not allow coupons.","Private label payments do not allow coupons."
"Product-id cant be null.","Product-id cant be null."
"Cannot update transaction_amount for cbt-v2.","Cannot update transaction_amount for cbt-v2."
"funder.id attribute must be numeric.","funder.id attribute must be numeric."
"movement consumer not working.","movement consumer not working."
"a query couldn't be process.","a query couldn't be process."
"this operation is being processed in another server.","this operation is being processed in another server."
"There is nothing to post to account, something went wrong.","There is nothing to post to account, something went wrong."
"bank_id not found.","bank_id not found."
"GMT not found.","GMT not found."
"Date format must be yyyy-MM-dd.","Date format must be yyyy-MM-dd."
"Zero amount is not valid.","Zero amount is not valid."
"another balance block is being processed for this payer.","another balance block is being processed for this payer."
"Invalid currency id.","Invalid currency id."
"Config not found.","Config not found."
"Template not found.","Template not found."
"Site is not configured for money release.","Site is not configured for money release."
"Day is not valid for money release.","Day is not valid for money release."
"Config already exist.","Config already exist."
"The type parameter must be full_financing or no_financing.","The type parameter must be full_financing or no_financing."
"Warning!! WrapperCache failed to update a key, may be outdated a key.","Warning!! WrapperCache failed to update a key, may be outdated a key."
"Invalid money_release_date.","Invalid money_release_date."
"Error obtaining rule profile.","Error obtaining rule profile."
"Shipping restriction get API fail.","Shipping restriction get API fail."
"Refund not allowed by shipping.","Refund not allowed by shipping."
"Wrong percentage to refund.","Wrong percentage to refund."
"Movement operations pending.","Movement operations pending."
"Movement operations failed.","Movement operations failed."
"Payer doesn't support refunds.","Payer doesn't support refunds."
"No partial refund is supported for shipping.","No partial refund is supported for shipping."
"User unavailable.","User unavailable."
"Invalid message from streams.","Invalid message from streams."
"Fail sync kvs to oracle.","Fail sync kvs to oracle."
"Collector doesn't support refunds.","Collector doesn't support refunds."
"Exchange doesn't support partial refunds.","Exchange doesn't support partial refunds."
"Payment doesn't refund support.","Payment doesn't refund support."
"Could not find a valid MovementOperationProcessor.","Could not find a valid MovementOperationProcessor."
"KVS schema validation error.","KVS schema validation error."
"The parameter msg.movement_operation_ids can not be null or empty.","The parameter msg.movement_operation_ids can not be null or empty."
"Payment doesn't support refund type.","Payment doesn't support refund type."
"Invalid marketplaceFee value.","Invalid marketplaceFee value."
"The payment has taxes contingencies to resolve.","The payment has taxes contingencies to resolve."
"DS schema validation error.","DS schema validation error."
"Connection to Loan API Failed.","Connection to Loan API Failed."
"Error in loans api, invocation.","Error in loans api, invocation."
"Loan error, bad_request.","Loan error, bad_request."
"Loan error, incomplete_reference_data.","Loan error, incomplete_reference_data."
"Loan error, credit_option_not_found.","Loan error, credit_option_not_found."
"Loan error, invalid_borrower, the user is not authorized to take loans.","Loan error, invalid_borrower, the user is not authorized to take loans."
"Loan error, invalid_credit_option_status.","Loan error, invalid_credit_option_status."
"Loan error, expired_credit_option.","Loan error, expired_credit_option."
"Loan error, insufficient_credit_balance.","Loan error, insufficient_credit_balance."
"Loan error, internal_error.","Loan error, internal_error."
"Loan error, simulation_error.","Loan error, simulation_error."
"Loan error, save_loan_error.","Loan error, save_loan_error."
"Loan error, forbidden.","Loan error, forbidden."
"Loan error, invalid_status_transition.","Loan error, invalid_status_transition."
"Loan error, invalid_status.","Loan error, invalid_status."
"Loan error, already_captured.","Loan error, already_captured."
"Loan error, none_options_match.","Loan error, none_options_match."
"Loan error, the lender hasn't the required balance.","Loan error, the lender hasn't the required balance."
"Loan error, invalid ip address.","Loan error, invalid ip address."
"Invalid authorization.","Invalid authorization."
"Connection to Digital Wallet API Failed.","Connection to Digital Wallet API Failed."
"Digital wallet error.","Digital wallet error."
"Digital wallet get authorization error.","Digital wallet get authorization error."
"Digital wallet invalid transaction status.","Digital wallet invalid transaction status."
"Digital wallet get transaction error.","Digital wallet get transaction error."
"Digital wallet refund rejected.","Digital wallet refund rejected."
"Digital wallet Service Unavailable.","Digital wallet Service Unavailable."
"Invalid order.","Invalid order."
"Invalid order status.","Invalid order status."
"Invalid order type.","Invalid order type."
"Order without approved regular_payment.","Order without approved regular_payment."
"Invalid order owner.","Invalid order owner."
